timestamp_utc,name,url,expected_status,actual_status,latency_ms,is_up,error
2026-04-27T05:22:07.012783+00:00,Github,http://github.com/,200,200,687,1,
2026-04-27T07:43:39.590923+00:00,Google,https://google.com,200,200,202,1,
2026-04-27T07:43:39.843241+00:00,Github,http://github.com/,200,200,252,1,
2026-04-27T09:59:17.783679+00:00,Google,https://google.com,200,200,108,1,
2026-04-27T09:59:17.840496+00:00,Github,http://github.com/,200,200,56,1,
2026-04-27T11:46:07.517534+00:00,Google,https://google.com,200,200,229,1,
2026-04-27T11:46:07.788294+00:00,Github,http://github.com/,200,200,270,1,
2026-04-27T13:19:31.688125+00:00,Google,https://google.com,200,200,332,1,
2026-04-27T13:19:32.237686+00:00,Github,http://github.com/,200,200,549,1,
2026-04-27T15:22:12.629480+00:00,Google,https://google.com,200,200,230,1,
2026-04-27T15:22:12.760577+00:00,Github,http://github.com/,200,200,131,1,
2026-04-27T17:01:54.976873+00:00,Google,https://google.com,200,200,121,1,
2026-04-27T17:01:55.047618+00:00,Github,http://github.com/,200,200,70,1,
2026-04-27T18:19:04.316759+00:00,Google,https://google.com,200,200,166,1,
2026-04-27T18:19:04.568055+00:00,Github,http://github.com/,200,200,251,1,
2026-04-27T19:52:39.643163+00:00,Google,https://google.com,200,200,268,1,
2026-04-27T19:52:39.957895+00:00,Github,http://github.com/,200,200,314,1,
2026-04-27T20:53:42.907119+00:00,Google,https://google.com,200,200,159,1,
2026-04-27T20:53:43.148134+00:00,Github,http://github.com/,200,200,240,1,
2026-04-27T21:47:43.368448+00:00,Google,https://google.com,200,200,183,1,
2026-04-27T21:47:43.622728+00:00,Github,http://github.com/,200,200,254,1,
2026-04-27T22:41:01.372542+00:00,Google,https://google.com,200,200,154,1,
2026-04-27T22:41:02.059092+00:00,Github,http://github.com/,200,200,686,1,
2026-04-27T23:36:42.571894+00:00,Google,https://google.com,200,200,171,1,
2026-04-27T23:36:42.825355+00:00,Github,http://github.com/,200,200,253,1,
2026-04-28T01:21:32.362840+00:00,Google,https://google.com,200,200,131,1,
2026-04-28T01:21:32.423597+00:00,Github,http://github.com/,200,200,60,1,
2026-04-28T04:51:11.209233+00:00,Google,https://google.com,200,200,303,1,
2026-04-28T04:51:11.520355+00:00,Github,http://github.com/,200,200,311,1,
